rank,university,total_score,ref_rank,year
28,"University of North Carolina, Chapel Hill",72.6,29,2017
29,University of Melbourne,72.5,30,2017
30,"University of Wisconsin, Madison",72.2,31,2017
31,Pierre and Marie Curie University - Paris 6,71.5,35,2017
32,Washington University in St. Louis,71.3,36,2017
33,The University of Sydney,70.7,38,2017
34,Tsinghua University,70.3,55,2017
35,"Ohio State University, Columbus",70.2,39,2017
36,McGill University,69.2,24,2017
37,Peking University,69.1,65,2017
37,Utrecht University,69.1,42,2017
39,National University of Singapore,68.7,65,2017
40,Karolinska Institutet,68.4,28,2017
41,"University of California, Davis",68.3,44,2017
41,University of Queensland,68.3,45,2017
43,Mayo Medical School,68,46,2017
44,Swiss Federal Institute of Technology - Zurich,67.8,31,2017
44,Zhejiang University,67.8,47,2017
46,The University of Manchester,67.7,48,2017
47,New York University,67.5,72,2017
48,Emory University,67.3,52,2017
48,Shanghai Jiao Tong University,67.3,51,2017
50,Ruprecht Karl University of Heidelberg,67,53,2017
51,Seoul National University,66.9,31,2017
51,"University of London, King's College London",66.9,53,2017
53,University of Edinburgh,66.8,55,2017
54,Katholieke Universiteit Leuven,66.6,37,2017
55,Ludwig Maximilian University of Munich,66.5,59,2017
56,University of Sao Paulo,66.4,103,2017
57,California Institute of Technology,66,23,2017
58,University of Florida,65.9,64,2017
59,University of Amsterdam,65.6,41,2017
59,University of Chinese Academy of Sciences,65.6,68,2017
61,Monash University,65.5,69,2017
62,"University of Texas, M. D. Anderson Cancer Center",65.3,43,2017
62,University of Zurich,65.3,69,2017
64,University of Barcelona,65,106,2017
65,Boston University,64.9,72,2017
65,Ghent University,64.9,72,2017
65,Vanderbilt University,64.9,72,2017
68,University of Southern California,64.7,78,2017
68,"University of Texas, Austin",64.7,76,2017
70,Kyoto University,64.4,79,2017
71,The University of New South Wales,64.2,79,2017
72,"University of Illinois, Urbana-Champaign",64.1,86,2017
73,"Pennsylvania State University, University Park",64,84,2017
74,"University of Maryland, College Park",63.8,87,2017
75,Humboldt University of Berlin,63.6,49,2017
75,VU University Amsterdam,63.6,89,2017
77,Free University of Berlin,63.5,50,2017
78,Princeton University,63.4,58,2017
79,Erasmus University Rotterdam,63.3,92,2017
80,Leiden University,63.1,57,2017
81,University of Groningen,63,95,2017
81,University of Helsinki,63,95,2017
83,Nanyang Technological University,62.9,99,2017
83,Radboud University Nijmegen,62.9,98,2017
85,Paris-Sud University - Paris 11,62.6,61,2017
86,Technical University of Munich,62.4,121,2017
86,University of Alberta,62.4,106,2017
88,Aarhus University,62.1,63,2017
88,Lund University,62.1,65,2017
88,"University of Colorado, Boulder",62.1,71,2017
91,Fudan University,61.9,62,2017
92,University of Utah,61.6,111,2017
93,University of Arizona,61.5,113,2017
94,University of Oslo,61.3,115,2017
95,Paris Diderot University - Paris 7,61.2,79,2017
95,"University of California, Irvine",61.2,79,2017
95,Uppsala University,61.2,76,2017
98,University of Bristol,61,84,2017
99,Swiss Federal Institute of Technology - Lausanne,60.8,89,2017
99,Université de Montréal,60.8,79,2017
